"GeneticGroup","GID","MCMDS","DM","BRNHT1","BRLVLS","HI","logFYLD","logTOPYLD","logRTNO","TCHART","LCHROMO","ACHROMO","BCHROMO"
"TMS18","TMS18F1001P0012_A16930",0.0982576335288076,-3.64416084097309,3.50302779205892,-0.111642143507023,0.0381921249365951,0.144327978570709,0.118854011335093,-0.0252663774955713,-0.228398869990537,0.716943662235683,-0.333312535315002,-2.26348024765207
"TMS18","TMS18F1001P0014_A16931",-0.0286328272029032,-3.53769211085279,1.03629554043524,-0.222346277735567,0.0144074307583594,-0.115750741642765,-0.081418219353385,-0.17855896788831,-0.27643648567486,0.501589717199686,-0.378400444059699,-2.1059368671965
"TMS18","TMS18F1001P0019_A17543",-0.310768034004178,-2.77895872041875,-2.64290838675946,-0.326625346881005,0.0437819711195108,-0.194101125738579,-0.209988152784736,-0.174525125777654,-0.293779121318366,1.03629921798174,-0.740946410038672,-3.75974933709195
"TMS18","TMS18F1001P0020_A17509",-0.402190494689036,-3.94094932324616,8.21780105145882,-0.0480066111185936,0.0659132973017565,0.313542012001349,0.136074013987602,0.0823383552929935,-0.226633288490811,0.440500769883627,-0.539645761545113,-2.63177327536182
"TMS18","TMS18F1001P0022_A17443",0.703940907582273,-4.49388046483974,-6.25225231378478,0.15828554649862,0.0496116239595172,-0.121858143442193,-0.26680321391297,-0.174336680627688,-0.197596549062355,0.223359531972987,-0.537526039113326,-4.88980691097232
"TMS18","TMS18F1001P0023_A17429",0.201474165906745,-2.74633425618513,2.86054507676195,-0.207908230624796,0.0463352895035024,0.115949909855742,-0.00665215446867916,-0.0320350782261991,-0.0907472000149789,0.421576694933626,-0.493789258361462,-3.73873086921923
"TMS18","TMS18F1002P0005_A18738",-0.433208664591016,2.71845595213868,-0.0243597679577617,0.143246345968156,0.0320797148245739,0.031852520573597,-0.115454891943242,0.0206947075847179,-0.369388260472213,0.617966645241814,-0.663003297444893,-3.95456692668672
"TMS18","TMS18F1002P0021_A18726",-0.188659550614708,1.82102663784214,9.31930709787993,0.0502609210324632,0.00345776690391459,0.179200187993903,0.140990557080533,0.147632277158563,0.363137924588065,-0.0781189005427323,0.196007971983253,3.73222492315678
"TMS18","TMS18F1003P0007_A16908",-0.0494827232357655,2.09248908088072,-1.98556820226646,0.460609842120486,-0.0604830904950638,0.00872225174963409,0.139350342272271,0.0633469811818681,-0.280103331650545,0.109082198672061,0.0719853631815206,-2.62804492450661
"TMS18","TMS18F1003P0011_A18733",-0.35553816832163,1.74427165239259,1.24248133237416,0.373912955854424,-0.0639321690800109,-0.026466440788701,0.169755897094055,-0.00685867799645924,-0.227646308930899,-0.128965347136965,0.309930212052508,-3.70752337569123
"TMS18","TMS18F1003P0012_A17541",0.320661178759955,3.99919494936279,4.34587000139631,0.315328470084714,-0.0309481825346204,0.0284095034568591,0.136041640219184,0.0915751457895965,-0.291827520247318,0.571003669274209,-0.304150043832272,-4.05498488192955
"TMS18","TMS18F1003P0014_A17582",0.0633519111614834,4.84548743210428,-0.103632823312076,0.380340405413571,-0.0273129148336645,-0.131047824457609,-0.00735691202925255,-0.0108204504685982,-0.111094148259452,0.232686292215649,0.147909367859734,-1.90639237562394
"TMS18","TMS18F1004P0010_A18719",-0.320191978662968,1.99164432638214,-1.21297460507999,-0.0408298054477686,-0.00528407428759383,0.0612616558443494,0.0502071292399472,0.0138660590583552,-0.198747991976535,0.829989465960922,-0.290428994403368,-3.65072916609657
"TMS18","TMS18F1005P0015_A18716",-0.418300631241446,0.0926887296427075,7.15989384841019,-0.241692276462135,-0.0371632144544877,-0.206598065879133,-0.132669217433704,-0.0824543717996519,-0.259168214511385,0.739152387292753,-0.161846720152852,-3.96897555189133
"TMS18","TMS18F1005P0023_A17452",-0.299881301335984,4.36957017351713,5.19718059331503,0.0542380566350319,-0.0156862526856696,0.0474394186099852,0.0928901084236924,0.121175717904462,-0.403465464353575,0.752105158451037,-0.177274547832497,-4.07871905147115
"TMS18","TMS18F1006P0001_A17526",-0.205427818477766,-0.868139655690317,0.524374775011971,-0.20340552765945,-0.0364633520079641,-0.162541648712373,-0.0106218687231805,-0.122214428712863,-0.0173510509415743,0.539975075699749,-0.150946550598998,-2.00819893427327
"TMS18","TMS18F1006P0005_A18721",-0.193143653408613,0.996010896830851,5.21402735581198,-0.732289215620364,0.0274146270511542,0.129461734243591,0.0491655825291793,0.0276612769111488,-0.123871935536706,0.408940581391914,-0.457829909082767,-1.11334146751998
"TMS18","TMS18F1006P0006_A17544",-0.273931252462917,3.26838161296755,2.665083933103,0.313718489856685,-0.0110627301099294,0.104313183647499,0.0899851172213027,0.0152416287398805,-0.116249597853447,1.16716464903879,-0.479772082255471,-3.93964708267768
"TMS18","TMS18F1006P0009_A18715",-0.555525604429868,3.79730022612085,3.70783642617053,-0.154491059509989,-0.0249439630786477,-0.0107201822988256,0.0953653677730592,0.00995290034455105,-0.194089943488853,1.02332027789586,-0.204449732128646,-3.31612317680177
"TMS18","TMS18F1006P0017_A17428",-0.517026970626038,-1.91297710753421,1.45213563530002,-0.390338172357519,0.0206494886260137,0.0227571919296866,0.0110892560070786,0.0517522056992759,-0.294571467080111,0.965501306626725,-0.699867067560069,-4.04989539191524
