"GeneticGroup","GID","MCMDS","DM","PLTHT","BRNHT1","BRLVLS","HI","logFYLD","logTOPYLD","logRTNO","TCHART","LCHROMO","ACHROMO","BCHROMO"
"TMS14","TMS14F1282P0006:250303965",0.128221066979753,-4.61266983507525,4.66143791904968,8.24523317426438,-0.0743765915058205,0.0610852764706654,0.198658718837396,0.0287496115129504,0.197137668750788,0.512465852949947,-0.739013773348523,0.315262890321426,5.08242855835608
"TMS14","TMS14F1282P0007:250303966",0.02554630267589,-1.59890343829022,4.56477745526452,7.30752114050259,-0.0947775722141426,0.0164179465056825,0.209009688300249,0.119319347325137,0.136230569772613,0.463670873118304,-1.21278749670132,0.287313286320889,5.40543517452084
"TMS14","TMS14F1282P0008:250303967",-0.106029324699885,1.60260944056844,3.90548463276548,2.81719869770182,0.0117746230906603,0.00952107460317855,0.155667099051893,0.107622268257153,0.108607861075198,-0.210665851012702,0.199070482681387,-0.570084698580834,-3.68790716304964
"TMS14","TMS14F1282P0010:250303969",0.669946516091423,-0.48453900103214,7.19909137138584,15.182582565218,-0.164519608523471,0.0486781937570346,0.181838186206221,-0.0154013352704264,0.141485489267412,-0.12247730284096,0.646264212549625,-1.07193714661288,-4.0696405971067
"TMS14","TMS14F1282P0011:250303970",1.25580310428813,-2.1410389569285,0.398173066477995,9.85398948677873,-0.314526584273001,0.0580329696007042,0.118212906749916,-0.055582833059465,0.10185216545422,-0.131464760639827,0.583153763745414,-0.406581534154499,-3.36146993938781
"TMS14","TMS14F1282P0012:250303971",0.444915034381484,-2.00822453085812,4.19994205062557,8.3826819532785,0.284396760713589,0.0246382763187348,0.174442676916299,0.0373319689268194,0.0916603020030493,0.852001935862247,-1.18055643994629,0.0987945228284755,5.51266789985398
"TMS14","TMS14F1282P0013:250303972",-0.326485265883004,-1.67552911493971,16.603977986484,9.87732462118083,-0.143780617760457,-0.00925422760196311,0.179754607576334,0.184130085971068,0.134552562268734,0.732176802841963,-1.31953823427193,0.427029973219747,3.28459611071983
"TMS14","TMS14F1282P0014:250303973",0.0141962380651716,-1.89851005413036,-0.814575656773341,10.5815042132945,-0.127816937127267,0.0681922708912896,0.187993282364783,0.00633998841291451,0.155049144588915,-0.102992640828252,0.298366986473979,-0.688554139468354,-2.9675450605383
"TMS14","TMS14F1282P0015:250303974",0.0535930988921291,-0.0126614362438733,8.76659116142168,10.1274069319429,0.0779270507092941,0.0221618603095845,0.140319036068186,0.122262575787824,0.0452779252117075,0.525318108302779,-0.724292786320773,-0.0599049677380971,6.17291154458812
"TMS14","TMS14F1282P0016:250303975",0.610911885885038,-1.49821277011384,-2.78844508614488,5.46088962758252,-0.2562374582782,0.0925023547674916,0.174897427345682,-0.0825597754625936,0.127447915289616,-0.158698922898532,0.6572253832091,-1.01267681566723,-3.84505343642117
"TMS14","TMS14F1282P0017:250303976",-0.0149917528406429,-0.67104463819117,4.84823595379766,12.276144766928,-0.205962022570343,0.071235968393071,0.216215978036183,-0.0241962651913415,0.150406766342222,-0.216683389156745,0.471891054432927,-0.356077190689081,-3.50106095422296
"TMS14","TMS14F1282P0018:250303977",0.531967395686884,1.50857468033153,11.4839352324854,12.5294141862693,-0.11982728338257,0.0329395773827471,0.209311955169993,0.102071141772664,0.141572317290359,-0.402810873768816,0.621300543147981,-0.768519267664233,-5.26035778542508
"TMS14","TMS14F1282P0019:250303978",0.257083545339142,-0.0166128047519097,10.9940791287457,11.4290409270265,-0.263670337920198,0.00808314249203962,0.099536379932995,0.0894467669557622,0.0397896972345598,-0.155491003535116,0.247904445653593,-0.312574344362035,-2.96169802416735
